                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                 0.5053,                0.60651,                 0.3869,                0.87997,                0.99923,                      1,                  0.995,                0.90246,                0.99923,                      1,                  0.995,                0.89707,                0.43119,                0.55635,                0.30681,                0.82447,               0.005248,               0.005248,               0.005248
                     26,                0.55172,                0.68783,                0.41718,                0.87888,                0.99927,                      1,                  0.995,                0.91153,                0.99927,                      1,                  0.995,                0.89746,                  0.432,                0.55871,                 0.2905,                0.82516,                0.00505,                0.00505,                0.00505
                     27,                0.54024,                0.57862,                0.39915,                0.86176,                0.99937,                      1,                  0.995,                0.90815,                0.99937,                      1,                  0.995,                0.90087,                0.46525,                0.55878,                0.39848,                0.83264,               0.004852,               0.004852,               0.004852
                     28,                0.56661,                0.54477,                0.39655,                0.88923,                0.99933,                      1,                  0.995,                 0.9113,                0.99933,                      1,                  0.995,                0.89992,                0.46598,                0.56744,                0.33492,                0.83766,               0.004654,               0.004654,               0.004654
                     29,                0.51775,                0.68837,                0.37478,                0.86755,                0.99923,                      1,                  0.995,                0.92198,                0.99923,                      1,                  0.995,                0.89361,                0.41864,                0.56233,                0.29843,                0.82316,               0.004456,               0.004456,               0.004456
                     30,                0.51726,                 0.5868,                0.36729,                0.87311,                0.99924,                      1,                  0.995,                0.92182,                0.99924,                      1,                  0.995,                0.90125,                0.42012,                0.56061,                0.30726,                0.82177,               0.004258,               0.004258,               0.004258
                     31,                0.49738,                0.55384,                0.37822,                0.86885,                0.99919,                      1,                  0.995,                0.91321,                0.99919,                      1,                  0.995,                0.88719,                0.42466,                0.55793,                0.30946,                0.82123,                0.00406,                0.00406,                0.00406
                     32,                0.55447,                0.60498,                0.37285,                0.88014,                0.99904,                      1,                  0.995,                0.90711,                0.99904,                      1,                  0.995,                 0.8868,                0.44293,                  0.563,                0.30809,                0.82406,               0.003862,               0.003862,               0.003862
                     33,                0.53021,                0.56387,                 0.3755,                0.88655,                0.99896,                      1,                  0.995,                0.92185,                0.99896,                      1,                  0.995,                0.89207,                0.41112,                 0.5604,                 0.2841,                0.82266,               0.003664,               0.003664,               0.003664
                     34,                0.54341,                0.58554,                0.36713,                0.87904,                0.99902,                      1,                  0.995,                0.91152,                0.99902,                      1,                  0.995,                0.89953,                0.41093,                0.55737,                0.27708,                0.82248,               0.003466,               0.003466,               0.003466
